year,state,category,cases,lag_1,lag_2,rolling_mean_3,growth_rate,state_encoded,category_encoded
2018,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2019,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2020,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2021,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2022,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2023,ASSAM,abetment suicide,0.0,0.0,0.0,0.0,0.0,3,1
2016,ASSAM,data theft,0.0,0.0,0.0,0.0,0.0,3,2
2017,ASSAM,data theft,3.0,0.0,0.0,0.0,inf,3,2
2018,ASSAM,data theft,0.0,3.0,0.0,1.0,-1.0,3,2
2019,ASSAM,data theft,0.0,0.0,3.0,1.0,0.0,3,2
2020,ASSAM,data theft,0.0,0.0,0.0,0.0,0.0,3,2
2021,ASSAM,data theft,0.0,0.0,0.0,0.0,0.0,3,2
2022,ASSAM,data theft,0.0,0.0,0.0,0.0,0.0,3,2
2023,ASSAM,data theft,0.0,0.0,0.0,0.0,0.0,3,2
2017,ASSAM,emotional motive,83.0,0.0,0.0,0.0,0.0,3,3
2018,ASSAM,emotional motive,46.0,83.0,0.0,0.0,-0.4457831325301205,3,3
2019,ASSAM,emotional motive,263.0,46.0,83.0,130.66666666666666,4.717391304347826,3,3
2020,ASSAM,emotional motive,164.0,263.0,46.0,157.66666666666666,-0.376425855513308,3,3
2021,ASSAM,emotional motive,144.0,164.0,263.0,190.33333333333334,-0.12195121951219512,3,3
2022,ASSAM,emotional motive,116.5,144.0,164.0,141.5,-0.1909722222222222,3,3
2023,ASSAM,emotional motive,89.0,116.5,144.0,116.5,-0.23605150214592274,3,3
2016,ASSAM,extortion,59.0,0.0,0.0,0.0,0.0,3,4
2017,ASSAM,extortion,65.0,59.0,0.0,0.0,0.10169491525423724,3,4
2018,ASSAM,extortion,153.0,65.0,59.0,92.33333333333333,1.353846153846154,3,4
2019,ASSAM,extortion,518.0,153.0,65.0,245.33333333333334,2.3856209150326797,3,4
2020,ASSAM,extortion,447.0,518.0,153.0,372.6666666666667,-0.137065637065637,3,4
2021,ASSAM,extortion,496.0,447.0,518.0,487.0,0.10961968680089496,3,4
2022,ASSAM,extortion,314.0,496.0,447.0,419.0,-0.36693548387096775,3,4
2023,ASSAM,extortion,132.0,314.0,496.0,314.0,-0.5796178343949044,3,4
2017,ASSAM,fraud,48.0,0.0,0.0,0.0,0.0,3,5
2018,ASSAM,fraud,389.0,48.0,0.0,0.0,7.104166666666666,3,5
2019,ASSAM,fraud,243.0,389.0,48.0,226.66666666666666,-0.3753213367609255,3,5
2020,ASSAM,fraud,242.0,243.0,389.0,291.3333333333333,-0.004115226337448541,3,5
2021,ASSAM,fraud,704.0,242.0,243.0,396.3333333333333,1.9090909090909092,3,5
2022,ASSAM,fraud,421.0,704.0,242.0,455.6666666666667,-0.40198863636363635,3,5
