state,year,category,cases
CHHATTISGARH,2017,fraud,47.0
CHHATTISGARH,2017,hate crime,1.0
CHHATTISGARH,2017,illegal trade,0.0
CHHATTISGARH,2017,personal revenge,8.0
CHHATTISGARH,2017,piracy,0.0
CHHATTISGARH,2017,political motive,3.0
CHHATTISGARH,2017,prank,18.0
CHHATTISGARH,2017,sexual exploitation,16.0
CHHATTISGARH,2017,terrorism,0.0
CHHATTISGARH,2018,abetment suicide,0.0
CHHATTISGARH,2018,data theft,0.0
CHHATTISGARH,2018,emotional motive,1.0
CHHATTISGARH,2018,extortion,2.0
CHHATTISGARH,2018,fraud,23.0
CHHATTISGARH,2018,hate crime,1.0
CHHATTISGARH,2018,illegal trade,0.0
CHHATTISGARH,2018,personal revenge,0.0
CHHATTISGARH,2018,piracy,0.0
CHHATTISGARH,2018,political motive,4.0
CHHATTISGARH,2018,prank,0.0
CHHATTISGARH,2018,sexual exploitation,21.0
CHHATTISGARH,2018,terrorism,0.0
CHHATTISGARH,2019,abetment suicide,0.0
CHHATTISGARH,2019,data theft,0.0
CHHATTISGARH,2019,emotional motive,1.0
CHHATTISGARH,2019,extortion,2.0
CHHATTISGARH,2019,fraud,47.0
CHHATTISGARH,2019,hate crime,1.0
CHHATTISGARH,2019,illegal trade,0.0
CHHATTISGARH,2019,personal revenge,2.0
CHHATTISGARH,2019,piracy,0.0
CHHATTISGARH,2019,political motive,5.0
CHHATTISGARH,2019,prank,0.0
CHHATTISGARH,2019,sexual exploitation,30.0
CHHATTISGARH,2019,terrorism,0.0
CHHATTISGARH,2020,abetment suicide,0.0
CHHATTISGARH,2020,data theft,0.0
CHHATTISGARH,2020,emotional motive,1.0
CHHATTISGARH,2020,extortion,7.0
CHHATTISGARH,2020,fraud,75.0
CHHATTISGARH,2020,hate crime,0.0
CHHATTISGARH,2020,illegal trade,0.0
CHHATTISGARH,2020,personal revenge,0.0
CHHATTISGARH,2020,piracy,0.0
CHHATTISGARH,2020,political motive,0.0
CHHATTISGARH,2020,prank,0.0
CHHATTISGARH,2020,sexual exploitation,35.0
CHHATTISGARH,2020,terrorism,2.0
CHHATTISGARH,2021,abetment suicide,0.0
CHHATTISGARH,2021,data theft,0.0
CHHATTISGARH,2021,emotional motive,1.0
CHHATTISGARH,2021,extortion,1.0
CHHATTISGARH,2021,fraud,75.0
CHHATTISGARH,2021,hate crime,0.0
CHHATTISGARH,2021,illegal trade,0.0
CHHATTISGARH,2021,personal revenge,8.0
CHHATTISGARH,2021,piracy,0.0
CHHATTISGARH,2021,political motive,0.0
CHHATTISGARH,2021,prank,0.0
CHHATTISGARH,2021,sexual exploitation,65.0
CHHATTISGARH,2021,terrorism,0.0
CHHATTISGARH,2023,abetment suicide,0.0
CHHATTISGARH,2023,data theft,0.0
CHHATTISGARH,2023,emotional motive,1.0
CHHATTISGARH,2023,extortion,3.0
CHHATTISGARH,2023,fraud,49.0
CHHATTISGARH,2023,hate crime,0.0
CHHATTISGARH,2023,illegal trade,0.0
CHHATTISGARH,2023,personal revenge,1.0
CHHATTISGARH,2023,piracy,0.0
CHHATTISGARH,2023,political motive,4.0
CHHATTISGARH,2023,prank,3.0
CHHATTISGARH,2023,sexual exploitation,136.0
CHHATTISGARH,2023,terrorism,0.0
DADRA AND NAGAR HAVELI,2016,data theft,0.0
DADRA AND NAGAR HAVELI,2016,extortion,0.0
DADRA AND NAGAR HAVELI,2016,hate crime,0.0
DADRA AND NAGAR HAVELI,2016,illegal trade,0.0
DADRA AND NAGAR HAVELI,2016,personal revenge,1.0
DADRA AND NAGAR HAVELI,2016,piracy,0.0
DADRA AND NAGAR HAVELI,2016,political motive,0.0
DADRA AND NAGAR HAVELI,2016,prank,0.0
DADRA AND NAGAR HAVELI,2016,sexual exploitation,0.0
DADRA AND NAGAR HAVELI,2017,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2017,data theft,0.0
DADRA AND NAGAR HAVELI,2017,emotional motive,0.0
DADRA AND NAGAR HAVELI,2017,extortion,0.0
DADRA AND NAGAR HAVELI,2017,fraud,0.0
DADRA AND NAGAR HAVELI,2017,hate crime,0.0
DADRA AND NAGAR HAVELI,2017,illegal trade,0.0
DADRA AND NAGAR HAVELI,2017,personal revenge,0.0
DADRA AND NAGAR HAVELI,2017,piracy,0.0
DADRA AND NAGAR HAVELI,2017,political motive,0.0
DADRA AND NAGAR HAVELI,2017,prank,0.0
DADRA AND NAGAR HAVELI,2017,sexual exploitation,1.0
DADRA AND NAGAR HAVELI,2017,terrorism,0.0
DADRA AND NAGAR HAVELI,2018,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2018,data theft,0.0
DADRA AND NAGAR HAVELI,2018,emotional motive,0.0
DADRA AND NAGAR HAVELI,2018,extortion,0.0
DADRA AND NAGAR HAVELI,2018,fraud,0.0
DADRA AND NAGAR HAVELI,2018,hate crime,0.0
DADRA AND NAGAR HAVELI,2018,illegal trade,0.0
DADRA AND NAGAR HAVELI,2018,personal revenge,0.0
DADRA AND NAGAR HAVELI,2018,piracy,0.0
DADRA AND NAGAR HAVELI,2018,political motive,0.0
DADRA AND NAGAR HAVELI,2018,prank,0.0
DADRA AND NAGAR HAVELI,2018,sexual exploitation,0.0
DADRA AND NAGAR HAVELI,2018,terrorism,0.0
DADRA AND NAGAR HAVELI,2019,abetment suicide,0.0
DADRA AND NAGAR HAVELI,2019,data theft,0.0
